sensor_id,timestamp,waste_type,inductive_property,capacitive_property,moisture_property,infrared_property
3,2023-09-01 12:00:00,non_recyclable,0.9,0.12,0.47,16.27
4,2023-09-01 12:15:00,recyclable,1.18,0.66,0.33,36.0
3,2023-09-01 12:30:00,non_recyclable,0.87,0.14,0.83,58.89
2,2023-09-01 12:45:00,organic,1.0,0.37,0.52,91.8
3,2023-09-01 13:00:00,recyclable,1.39,0.88,0.76,98.83
3,2023-09-01 13:15:00,recyclable,0.89,0.45,0.24,72.64
1,2023-09-01 13:30:00,organic,0.98,0.21,0.78,74.64
1,2023-09-01 13:45:00,organic,0.75,0.21,0.07,84.67
2,2023-09-01 14:00:00,recyclable,1.08,0.42,0.72,55.12
4,2023-09-01 14:15:00,recyclable,0.74,0.35,0.06,57.75
2,2023-09-01 14:30:00,non_recyclable,0.88,0.42,0.81,16.0
2,2023-09-01 14:45:00,recyclable,0.75,0.73,0.9,1.99
4,2023-09-01 15:00:00,recyclable,0.92,0.16,0.42,22.6
4,2023-09-01 15:15:00,recyclable,1.11,0.08,0.34,87.86
2,2023-09-01 15:30:00,organic,1.2,0.13,0.85,4.67
4,2023-09-01 15:45:00,organic,0.68,0.91,0.02,77.87
1,2023-09-01 16:00:00,recyclable,0.85,0.25,0.73,89.03
4,2023-09-01 16:15:00,non_recyclable,1.21,0.34,0.03,30.67
1,2023-09-01 16:30:00,non_recyclable,1.38,0.92,0.42,4.26
1,2023-09-01 16:45:00,recyclable,1.21,0.76,0.22,66.66
4,2023-09-01 17:00:00,organic,0.93,0.5,0.43,99.71
3,2023-09-01 17:15:00,organic,1.14,0.4,0.63,92.24
3,2023-09-01 17:30:00,recyclable,0.9,0.07,0.15,59.44
4,2023-09-01 17:45:00,recyclable,0.69,0.43,0.46,6.96
4,2023-09-01 18:00:00,organic,1.04,0.87,0.82,74.68
3,2023-09-01 18:15:00,organic,0.88,0.33,0.93,97.17
1,2023-09-01 18:30:00,organic,0.86,0.71,0.72,36.67
3,2023-09-01 18:45:00,organic,1.34,0.03,0.69,71.1
2,2023-09-01 19:00:00,recyclable,0.6,0.74,0.0,91.02
3,2023-09-01 19:15:00,organic,1.14,0.19,0.81,82.51
3,2023-09-01 19:30:00,organic,0.69,0.71,0.53,44.84
2,2023-09-01 19:45:00,recyclable,0.77,0.89,0.52,54.9
2,2023-09-01 20:00:00,organic,1.19,0.99,0.45,66.45
3,2023-09-01 20:15:00,recyclable,1.33,0.3,0.05,74.55
3,2023-09-01 20:30:00,non_recyclable,1.12,0.45,0.9,5.22
1,2023-09-01 20:45:00,organic,1.27,0.54,0.5,32.6
3,2023-09-01 21:00:00,organic,1.3,0.41,0.09,58.07
3,2023-09-01 21:15:00,recyclable,0.62,0.7,0.02,57.7
4,2023-09-01 21:30:00,organic,1.11,0.36,0.97,22.04
4,2023-09-01 21:45:00,non_recyclable,0.95,0.31,0.62,76.28
4,2023-09-01 22:00:00,recyclable,0.9,1.0,0.74,71.42
2,2023-09-01 22:15:00,non_recyclable,1.28,0.54,0.78,93.87
3,2023-09-01 22:30:00,non_recyclable,1.4,0.83,0.41,89.69
4,2023-09-01 22:45:00,non_recyclable,1.18,0.35,0.71,64.88
4,2023-09-01 23:00:00,recyclable,0.64,0.05,0.83,36.4
3,2023-09-01 23:15:00,recyclable,0.69,0.39,0.52,3.95
1,2023-09-01 23:30:00,non_recyclable,0.88,0.23,0.66,86.57
4,2023-09-01 23:45:00,recyclable,1.08,0.83,0.64,27.45
1,2023-09-02 00:00:00,organic,1.06,0.26,0.95,98.88
1,2023-09-02 00:15:00,non_recyclable,0.71,0.76,0.6,86.99
2,2023-09-02 00:30:00,organic,1.24,0.14,0.22,67.63
